Vehicle Selection Mode,--,Network-wide,--
,,06:00_08:00, 1.02
,,08:00_10:00, 1.04
Category,2-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean, 0.01
Category,2-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,06:00_08:00, 1.25
,,08:00_10:00, 0.88
Category,2-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,06:00_08:00, 1.02
,,08:00_10:00, 1.04
Category,2-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,06:00_08:00, 1.02
,,08:00_10:00, 1.03
Category,2-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,06:00_08:00, 1.02
,,08:00_10:00, 1.03
Category,2-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,06:00_08:00,40248.07
,,08:00_10:00,40574.83
Category,2-hour Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,06:00_08:00,11.18
,,08:00_10:00,11.27
Category,2-hour Departure Time Interval,Total Energy (KJ),
,,06:00_08:00,104274296.00
,,08:00_10:00,88028584.00
Category,2-hour Departure Time Interval,Total CO2 (g),
,,06:00_08:00,7518168.00
,,08:00_10:00,6345931.50
Category,2-hour Departure Time Interval,Total NOx (g),
,,06:00_08:00,17067.89
,,08:00_10:00,13206.92
Category,2-hour Departure Time Interval,Total CO (g),
,,06:00_08:00,92556.94
,,08:00_10:00,70635.77
Category,2-hour Departure Time Interval,Total HC (g),
,,06:00_08:00,2457.63
,,08:00_10:00,2103.89
Category,2-hour Departure Time Interval,Total Gallon,
,,06:00_08:00,856.81
,,08:00_10:00,723.32
Category,2-hour Departure Time Interval,Avg Energy (KJ/mile),
,,06:00_08:00,2633.19
,,08:00_10:00,2222.94
Category,2-hour Departure Time Interval,Avg CO2 (g/mile),
,,06:00_08:00,189.85
,,08:00_10:00,160.25
Category,2-hour Departure Time Interval,Avg NOx (g/mile),
,,06:00_08:00, 0.43
,,08:00_10:00, 0.33
Category,2-hour Departure Time Interval,Avg CO (g/mile),
,,06:00_08:00, 2.34
,,08:00_10:00, 1.78
Category,2-hour Departure Time Interval,Avg HC (g/mile),
,,06:00_08:00, 0.06
,,08:00_10:00, 0.05
Category,2-hour Departure Time Interval,Avg Miles per Gallon,
,,06:00_08:00,46.22
,,08:00_10:00,54.75
Category,4-hour Departure Time Interval,Number of Vehicles,
,,04:00_08:00,3600.00
,,08:00_12:00,3600.00
Category,4-hour Departure Time Interval,Cumulative Number of Vehicles,
,,04:00_08:00,3600.00
,,08:00_12:00,7200.00
Category,4-hour Departure Time Interval,Total Travel Time (min),
,,04:00_08:00,40248.07
,,08:00_12:00,40574.83
Category,4-hour Departure Time Interval,Total Travel Distance (mile),
,,04:00_08:00,39600.00
,,08:00_12:00,39600.00
Category,4-hour Departure Time Interval,Avg Travel Time (min),
,,04:00_08:00,11.18
,,08:00_12:00,11.27
Category,4-hour Departure Time Interval,Avg Travel Distance (mile),
,,04:00_08:00,11.00
,,08:00_12:00,11.00
Category,4-hour Departure Time Interval,Avg Speed (mile/hour),
,,04:00_08:00,59.03
,,08:00_12:00,58.56
Category,4-hour Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,04:00_08:00, 1.02
,,08:00_12:00, 1.02
Category,4-hour Departure Time Interval,Travel Time Index: mean/FFTT,
,,04:00_08:00, 1.02
,,08:00_12:00, 1.02
Category,4-hour Departure Time Interval,Avg Travel Time STD (min),
,,04:00_08:00, 0.05
,,08:00_12:00, 0.08
Category,4-hour Departure Time Interval,95th Percentile Travel Time (min),
,,04:00_08:00,11.27
,,08:00_12:00,11.40
Category,4-hour Departure Time Interval,90th Percentile Travel Time (min),
,,04:00_08:00,11.25
,,08:00_12:00,11.38
Category,4-hour Departure Time Interval,80th Percentile Travel Time (min),
,,04:00_08:00,11.22
,,08:00_12:00,11.35
Category,4-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,04:00_08:00, 1.02
,,08:00_12:00, 1.04
Category,4-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean, 0.01
Category,4-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,04:00_08:00, 1.25
,,08:00_12:00, 0.88
Category,4-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,04:00_08:00, 1.02
,,08:00_12:00, 1.04
Category,4-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,04:00_08:00, 1.02
,,08:00_12:00, 1.03
Category,4-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,04:00_08:00, 1.02
,,08:00_12:00, 1.03
Category,4-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,04:00_08:00,40248.07
,,08:00_12:00,40574.83
Category,4-hour Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,04:00_08:00,11.18
,,08:00_12:00,11.27
Category,4-hour Departure Time Interval,Total Energy (KJ),
,,04:00_08:00,104274296.00
,,08:00_12:00,88028584.00
Category,4-hour Departure Time Interval,Total CO2 (g),
,,04:00_08:00,7518168.00
,,08:00_12:00,6345931.50
Category,4-hour Departure Time Interval,Total NOx (g),
,,04:00_08:00,17067.89
,,08:00_12:00,13206.92
Category,4-hour Departure Time Interval,Total CO (g),
,,04:00_08:00,92556.94
,,08:00_12:00,70635.77
Category,4-hour Departure Time Interval,Total HC (g),
,,04:00_08:00,2457.63
,,08:00_12:00,2103.89
Category,4-hour Departure Time Interval,Total Gallon,
,,04:00_08:00,856.81
,,08:00_12:00,723.32
Category,4-hour Departure Time Interval,Avg Energy (KJ/mile),
,,04:00_08:00,2633.19
,,08:00_12:00,2222.94
Category,4-hour Departure Time Interval,Avg CO2 (g/mile),
,,04:00_08:00,189.85
,,08:00_12:00,160.25
Category,4-hour Departure Time Interval,Avg NOx (g/mile),
,,04:00_08:00, 0.43
,,08:00_12:00, 0.33
Category,4-hour Departure Time Interval,Avg CO (g/mile),
,,04:00_08:00, 2.34
,,08:00_12:00, 1.78
Category,4-hour Departure Time Interval,Avg HC (g/mile),
,,04:00_08:00, 0.06
,,08:00_12:00, 0.05
Category,4-hour Departure Time Interval,Avg Miles per Gallon,
,,04:00_08:00,46.22
,,08:00_12:00,54.75
Category,Distance Bin (0.2 ml Interval),Number of Vehicles,7200.00
Category,Distance Bin (0.2 ml Interval),Cumulative Number of Vehicles,7200.00
Category,Distance Bin (0.2 ml Interval),Total Travel Time (min),80822.93
Category,Distance Bin (0.2 ml Interval),Total Travel Distance (mile),79200.00
Category,Distance Bin (0.2 ml Interval),Avg Travel Time (min),11.23
Category,Distance Bin (0.2 ml Interval),Avg Travel Distance (mile),11.00
Category,Distance Bin (0.2 ml Interval),Avg Speed (mile/hour),58.80
Category,Distance Bin (0.2 ml Interval),Avg Travel Time Per Mile (min/mile), 1.02
Category,Distance Bin (0.2 ml Interval),Travel Time Index: mean/FFTT, 1.02
Category,Distance Bin (0.2 ml Interval),Avg Travel Time STD (min), 0.08
Category,Distance Bin (0.2 ml Interval),95th Percentile Travel Time (min),11.38
Category,Distance Bin (0.2 ml Interval),90th Percentile Travel Time (min),11.35
Category,Distance Bin (0.2 ml Interval),80th Percentile Travel Time (min),11.30
Category,Distance Bin (0.2 ml Interval),Planning Time Index: 95th percentile/FFTT, 1.03
Category,Distance Bin (0.2 ml Interval),Buffer Index: (95th percentile - mean)/mean, 0.01
Category,Distance Bin (0.2 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile), 1.74
Category,Distance Bin (0.2 ml Interval),95th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (0.2 ml Interval),90th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (0.2 ml Interval),80th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (0.2 ml Interval),Total Generalized Time:TT+Toll/VOT (min),80822.93
Category,Distance Bin (0.2 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),11.23
Category,Distance Bin (0.2 ml Interval),Total Energy (KJ),192303392.00
Category,Distance Bin (0.2 ml Interval),Total CO2 (g),13864093.00
Category,Distance Bin (0.2 ml Interval),Total NOx (g),30274.76
Category,Distance Bin (0.2 ml Interval),Total CO (g),163192.75
Category,Distance Bin (0.2 ml Interval),Total HC (g),4561.51
Category,Distance Bin (0.2 ml Interval),Total Gallon,1580.14
Category,Distance Bin (0.2 ml Interval),Avg Energy (KJ/mile),2428.07
Category,Distance Bin (0.2 ml Interval),Avg CO2 (g/mile),175.05
Category,Distance Bin (0.2 ml Interval),Avg NOx (g/mile), 0.38
Category,Distance Bin (0.2 ml Interval),Avg CO (g/mile), 2.06
Category,Distance Bin (0.2 ml Interval),Avg HC (g/mile), 0.06
Category,Distance Bin (0.2 ml Interval),Avg Miles per Gallon,50.12
Category,Distance Bin (1 ml Interval),Number of Vehicles,7200.00
Category,Distance Bin (1 ml Interval),Cumulative Number of Vehicles,7200.00
Category,Distance Bin (1 ml Interval),Total Travel Time (min),80822.93
Category,Distance Bin (1 ml Interval),Total Travel Distance (mile),79200.00
Category,Distance Bin (1 ml Interval),Avg Travel Time (min),11.23
Category,Distance Bin (1 ml Interval),Avg Travel Distance (mile),11.00
Category,Distance Bin (1 ml Interval),Avg Speed (mile/hour),58.80
Category,Distance Bin (1 ml Interval),Avg Travel Time Per Mile (min/mile), 1.02
Category,Distance Bin (1 ml Interval),Travel Time Index: mean/FFTT, 1.02
Category,Distance Bin (1 ml Interval),Avg Travel Time STD (min), 0.08
Category,Distance Bin (1 ml Interval),95th Percentile Travel Time (min),11.38
Category,Distance Bin (1 ml Interval),90th Percentile Travel Time (min),11.35
Category,Distance Bin (1 ml Interval),80th Percentile Travel Time (min),11.30
Category,Distance Bin (1 ml Interval),Planning Time Index: 95th percentile/FFTT, 1.03
Category,Distance Bin (1 ml Interval),Buffer Index: (95th percentile - mean)/mean, 0.01
Category,Distance Bin (1 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile), 1.74
Category,Distance Bin (1 ml Interval),95th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (1 ml Interval),90th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (1 ml Interval),80th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (1 ml Interval),Total Generalized Time:TT+Toll/VOT (min),80822.93
Category,Distance Bin (1 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),11.23
Category,Distance Bin (1 ml Interval),Total Energy (KJ),192303392.00
Category,Distance Bin (1 ml Interval),Total CO2 (g),13864093.00
Category,Distance Bin (1 ml Interval),Total NOx (g),30274.76
Category,Distance Bin (1 ml Interval),Total CO (g),163192.75
Category,Distance Bin (1 ml Interval),Total HC (g),4561.51
Category,Distance Bin (1 ml Interval),Total Gallon,1580.14
Category,Distance Bin (1 ml Interval),Avg Energy (KJ/mile),2428.07
Category,Distance Bin (1 ml Interval),Avg CO2 (g/mile),175.05
Category,Distance Bin (1 ml Interval),Avg NOx (g/mile), 0.38
Category,Distance Bin (1 ml Interval),Avg CO (g/mile), 2.06
Category,Distance Bin (1 ml Interval),Avg HC (g/mile), 0.06
Category,Distance Bin (1 ml Interval),Avg Miles per Gallon,50.12
Category,Distance Bin (2 ml Interval),Number of Vehicles,7200.00
Category,Distance Bin (2 ml Interval),Cumulative Number of Vehicles,7200.00
Category,Distance Bin (2 ml Interval),Total Travel Time (min),80822.93
Category,Distance Bin (2 ml Interval),Total Travel Distance (mile),79200.00
Category,Distance Bin (2 ml Interval),Avg Travel Time (min),11.23
Category,Distance Bin (2 ml Interval),Avg Travel Distance (mile),11.00
Category,Distance Bin (2 ml Interval),Avg Speed (mile/hour),58.80
Category,Distance Bin (2 ml Interval),Avg Travel Time Per Mile (min/mile), 1.02
Category,Distance Bin (2 ml Interval),Travel Time Index: mean/FFTT, 1.02
Category,Distance Bin (2 ml Interval),Avg Travel Time STD (min), 0.08
Category,Distance Bin (2 ml Interval),95th Percentile Travel Time (min),11.38
Category,Distance Bin (2 ml Interval),90th Percentile Travel Time (min),11.35
Category,Distance Bin (2 ml Interval),80th Percentile Travel Time (min),11.30
Category,Distance Bin (2 ml Interval),Planning Time Index: 95th percentile/FFTT, 1.03
Category,Distance Bin (2 ml Interval),Buffer Index: (95th percentile - mean)/mean, 0.01
Category,Distance Bin (2 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile), 1.74
Category,Distance Bin (2 ml Interval),95th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (2 ml Interval),90th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (2 ml Interval),80th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (2 ml Interval),Total Generalized Time:TT+Toll/VOT (min),80822.93
Category,Distance Bin (2 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),11.23
Category,Distance Bin (2 ml Interval),Total Energy (KJ),192303392.00
Category,Distance Bin (2 ml Interval),Total CO2 (g),13864093.00
Category,Distance Bin (2 ml Interval),Total NOx (g),30274.76
Category,Distance Bin (2 ml Interval),Total CO (g),163192.75
Category,Distance Bin (2 ml Interval),Total HC (g),4561.51
Category,Distance Bin (2 ml Interval),Total Gallon,1580.14
Category,Distance Bin (2 ml Interval),Avg Energy (KJ/mile),2428.07
Category,Distance Bin (2 ml Interval),Avg CO2 (g/mile),175.05
Category,Distance Bin (2 ml Interval),Avg NOx (g/mile), 0.38
Category,Distance Bin (2 ml Interval),Avg CO (g/mile), 2.06
Category,Distance Bin (2 ml Interval),Avg HC (g/mile), 0.06
Category,Distance Bin (2 ml Interval),Avg Miles per Gallon,50.12
Category,Distance Bin (5 ml Interval),Number of Vehicles,7200.00
Category,Distance Bin (5 ml Interval),Cumulative Number of Vehicles,7200.00
Category,Distance Bin (5 ml Interval),Total Travel Time (min),80822.93
Category,Distance Bin (5 ml Interval),Total Travel Distance (mile),79200.00
Category,Distance Bin (5 ml Interval),Avg Travel Time (min),11.23
Category,Distance Bin (5 ml Interval),Avg Travel Distance (mile),11.00
Category,Distance Bin (5 ml Interval),Avg Speed (mile/hour),58.80
Category,Distance Bin (5 ml Interval),Avg Travel Time Per Mile (min/mile), 1.02
Category,Distance Bin (5 ml Interval),Travel Time Index: mean/FFTT, 1.02
Category,Distance Bin (5 ml Interval),Avg Travel Time STD (min), 0.08
Category,Distance Bin (5 ml Interval),95th Percentile Travel Time (min),11.38
Category,Distance Bin (5 ml Interval),90th Percentile Travel Time (min),11.35
Category,Distance Bin (5 ml Interval),80th Percentile Travel Time (min),11.30
Category,Distance Bin (5 ml Interval),Planning Time Index: 95th percentile/FFTT, 1.03
Category,Distance Bin (5 ml Interval),Buffer Index: (95th percentile - mean)/mean, 0.01
Category,Distance Bin (5 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile), 1.74
Category,Distance Bin (5 ml Interval),95th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (5 ml Interval),90th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (5 ml Interval),80th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (5 ml Interval),Total Generalized Time:TT+Toll/VOT (min),80822.93
Category,Distance Bin (5 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),11.23
Category,Distance Bin (5 ml Interval),Total Energy (KJ),192303392.00
Category,Distance Bin (5 ml Interval),Total CO2 (g),13864093.00
Category,Distance Bin (5 ml Interval),Total NOx (g),30274.76
Category,Distance Bin (5 ml Interval),Total CO (g),163192.75
Category,Distance Bin (5 ml Interval),Total HC (g),4561.51
Category,Distance Bin (5 ml Interval),Total Gallon,1580.14
Category,Distance Bin (5 ml Interval),Avg Energy (KJ/mile),2428.07
Category,Distance Bin (5 ml Interval),Avg CO2 (g/mile),175.05
Category,Distance Bin (5 ml Interval),Avg NOx (g/mile), 0.38
Category,Distance Bin (5 ml Interval),Avg CO (g/mile), 2.06
Category,Distance Bin (5 ml Interval),Avg HC (g/mile), 0.06
Category,Distance Bin (5 ml Interval),Avg Miles per Gallon,50.12
Category,Distance Bin (10 ml Interval),Number of Vehicles,7200.00
Category,Distance Bin (10 ml Interval),Cumulative Number of Vehicles,7200.00
Category,Distance Bin (10 ml Interval),Total Travel Time (min),80822.93
Category,Distance Bin (10 ml Interval),Total Travel Distance (mile),79200.00
Category,Distance Bin (10 ml Interval),Avg Travel Time (min),11.23
Category,Distance Bin (10 ml Interval),Avg Travel Distance (mile),11.00
Category,Distance Bin (10 ml Interval),Avg Speed (mile/hour),58.80
Category,Distance Bin (10 ml Interval),Avg Travel Time Per Mile (min/mile), 1.02
Category,Distance Bin (10 ml Interval),Travel Time Index: mean/FFTT, 1.02
Category,Distance Bin (10 ml Interval),Avg Travel Time STD (min), 0.08
Category,Distance Bin (10 ml Interval),95th Percentile Travel Time (min),11.38
Category,Distance Bin (10 ml Interval),90th Percentile Travel Time (min),11.35
Category,Distance Bin (10 ml Interval),80th Percentile Travel Time (min),11.30
Category,Distance Bin (10 ml Interval),Planning Time Index: 95th percentile/FFTT, 1.03
Category,Distance Bin (10 ml Interval),Buffer Index: (95th percentile - mean)/mean, 0.01
Category,Distance Bin (10 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile), 1.74
Category,Distance Bin (10 ml Interval),95th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (10 ml Interval),90th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (10 ml Interval),80th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Distance Bin (10 ml Interval),Total Generalized Time:TT+Toll/VOT (min),80822.93
Category,Distance Bin (10 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),11.23
Category,Distance Bin (10 ml Interval),Total Energy (KJ),192303392.00
Category,Distance Bin (10 ml Interval),Total CO2 (g),13864093.00
Category,Distance Bin (10 ml Interval),Total NOx (g),30274.76
Category,Distance Bin (10 ml Interval),Total CO (g),163192.75
Category,Distance Bin (10 ml Interval),Total HC (g),4561.51
Category,Distance Bin (10 ml Interval),Total Gallon,1580.14
Category,Distance Bin (10 ml Interval),Avg Energy (KJ/mile),2428.07
Category,Distance Bin (10 ml Interval),Avg CO2 (g/mile),175.05
Category,Distance Bin (10 ml Interval),Avg NOx (g/mile), 0.38
Category,Distance Bin (10 ml Interval),Avg CO (g/mile), 2.06
Category,Distance Bin (10 ml Interval),Avg HC (g/mile), 0.06
Category,Distance Bin (10 ml Interval),Avg Miles per Gallon,50.12
Category,Travel Time Bin (2 min Interval),Number of Vehicles,7200.00
Category,Travel Time Bin (2 min Interval),Cumulative Number of Vehicles,7200.00
Category,Travel Time Bin (2 min Interval),Total Travel Time (min),80822.93
Category,Travel Time Bin (2 min Interval),Total Travel Distance (mile),79200.00
Category,Travel Time Bin (2 min Interval),Avg Travel Time (min),11.23
Category,Travel Time Bin (2 min Interval),Avg Travel Distance (mile),11.00
Category,Travel Time Bin (2 min Interval),Avg Speed (mile/hour),58.80
Category,Travel Time Bin (2 min Interval),Avg Travel Time Per Mile (min/mile), 1.02
Category,Travel Time Bin (2 min Interval),Travel Time Index: mean/FFTT, 1.02
Category,Travel Time Bin (2 min Interval),Avg Travel Time STD (min), 0.08
Category,Travel Time Bin (2 min Interval),95th Percentile Travel Time (min),11.38
Category,Travel Time Bin (2 min Interval),90th Percentile Travel Time (min),11.35
Category,Travel Time Bin (2 min Interval),80th Percentile Travel Time (min),11.30
Category,Travel Time Bin (2 min Interval),Planning Time Index: 95th percentile/FFTT, 1.03
Category,Travel Time Bin (2 min Interval),Buffer Index: (95th percentile - mean)/mean, 0.01
Category,Travel Time Bin (2 min Interval),Skew Index: (90th %ile-median)/(median-10th %ile), 1.74
Category,Travel Time Bin (2 min Interval),95th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Travel Time Bin (2 min Interval),90th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Travel Time Bin (2 min Interval),80th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Travel Time Bin (2 min Interval),Total Generalized Time:TT+Toll/VOT (min),80822.93
Category,Travel Time Bin (2 min Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),11.23
Category,Travel Time Bin (2 min Interval),Total Energy (KJ),192303392.00
Category,Travel Time Bin (2 min Interval),Total CO2 (g),13864093.00
Category,Travel Time Bin (2 min Interval),Total NOx (g),30274.76
Category,Travel Time Bin (2 min Interval),Total CO (g),163192.75
Category,Travel Time Bin (2 min Interval),Total HC (g),4561.51
Category,Travel Time Bin (2 min Interval),Total Gallon,1580.14
Category,Travel Time Bin (2 min Interval),Avg Energy (KJ/mile),2428.07
Category,Travel Time Bin (2 min Interval),Avg CO2 (g/mile),175.05
Category,Travel Time Bin (2 min Interval),Avg NOx (g/mile), 0.38
Category,Travel Time Bin (2 min Interval),Avg CO (g/mile), 2.06
Category,Travel Time Bin (2 min Interval),Avg HC (g/mile), 0.06
Category,Travel Time Bin (2 min Interval),Avg Miles per Gallon,50.12
Category,Travel Time Bin (5 min Interval),Number of Vehicles,7200.00
Category,Travel Time Bin (5 min Interval),Cumulative Number of Vehicles,7200.00
Category,Travel Time Bin (5 min Interval),Total Travel Time (min),80822.93
Category,Travel Time Bin (5 min Interval),Total Travel Distance (mile),79200.00
Category,Travel Time Bin (5 min Interval),Avg Travel Time (min),11.23
Category,Travel Time Bin (5 min Interval),Avg Travel Distance (mile),11.00
Category,Travel Time Bin (5 min Interval),Avg Speed (mile/hour),58.80
Category,Travel Time Bin (5 min Interval),Avg Travel Time Per Mile (min/mile), 1.02
Category,Travel Time Bin (5 min Interval),Travel Time Index: mean/FFTT, 1.02
Category,Travel Time Bin (5 min Interval),Avg Travel Time STD (min), 0.08
Category,Travel Time Bin (5 min Interval),95th Percentile Travel Time (min),11.38
Category,Travel Time Bin (5 min Interval),90th Percentile Travel Time (min),11.35
Category,Travel Time Bin (5 min Interval),80th Percentile Travel Time (min),11.30
Category,Travel Time Bin (5 min Interval),Planning Time Index: 95th percentile/FFTT, 1.03
Category,Travel Time Bin (5 min Interval),Buffer Index: (95th percentile - mean)/mean, 0.01
Category,Travel Time Bin (5 min Interval),Skew Index: (90th %ile-median)/(median-10th %ile), 1.74
Category,Travel Time Bin (5 min Interval),95th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Travel Time Bin (5 min Interval),90th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Travel Time Bin (5 min Interval),80th Percentile Travel Time Per Mile (min/mile), 1.03
Category,Travel Time Bin (5 min Interval),Total Generalized Time:TT+Toll/VOT (min),80822.93
Category,Travel Time Bin (5 min Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),11.23
Category,Travel Time Bin (5 min Interval),Total Energy (KJ),192303392.00
Category,Travel Time Bin (5 min Interval),Total CO2 (g),13864093.00
Category,Travel Time Bin (5 min Interval),Total NOx (g),30274.76
Category,Travel Time Bin (5 min Interval),Total CO (g),163192.75
Category,Travel Time Bin (5 min Interval),Total HC (g),4561.51
Category,Travel Time Bin (5 min Interval),Total Gallon,1580.14
Category,Travel Time Bin (5 min Interval),Avg Energy (KJ/mile),2428.07
Category,Travel Time Bin (5 min Interval),Avg CO2 (g/mile),175.05
Category,Travel Time Bin (5 min Interval),Avg NOx (g/mile), 0.38
Category,Travel Time Bin (5 min Interval),Avg CO (g/mile), 2.06
Category,Travel Time Bin (5 min Interval),Avg HC (g/mile), 0.06
Category,Travel Time Bin (5 min Interval),Avg Miles per Gallon,50.12
