project_name,aggregation_interval (min),display_link_index,from_node_id,to_node_id,link_name,timestamp (min),hour,min,Link Inflow Volume (vph),Link Outflow Volume (vph),Lane Inflow Volume(vphpl),Speed (mph),Speed (km/h),Density (vpmpl),Queue Length as Percentage of Link Length,Cumulative Arrival Count,Cumulative Departure Count,Sensor Link Inflow Volume (vph),Sensor Lane Inflow Volume(vphpl),Sensor Speed (mph),Sensor Speed (km/h),Sensor Density (vpmpl),
3-Corridor_Network,1,1,8,9, ,420,7,413,0,0,0,60,96.5606,0,0,0,0,0,0,60,96.5606,0,
3-Corridor_Network,1,2,8,9, ,421,7,414,0,0,0,60,96.5606,0,0,0,0,0,0,60,96.5606,0,
3-Corridor_Network,1,3,8,9, ,422,7,415,0,0,0,60,96.5606,0,0,0,0,0,0,60,96.5606,0,
3-Corridor_Network,1,4,8,9, ,423,7,416,0,0,0,60,96.5606,0,0,0,0,0,0,60,96.5606,0,
3-Corridor_Network,1,5,8,9, ,424,7,417,0,0,0,60,96.5606,0,0,0,0,0,0,60,96.5606,0,
3-Corridor_Network,1,6,8,9, ,425,7,418,0,0,0,60,96.5606,0,0,0,0,0,0,60,96.5606,0,
3-Corridor_Network,1,7,8,9, ,426,7,419,180,0,60,54.8302,88.2407,1,0,3,0,0,0,54.8302,88.2407,1,
3-Corridor_Network,1,8,8,9, ,427,7,420,3600,180,1200,42.1413,67.8199,26,0,81,3,0,0,42.1413,67.8199,26,
3-Corridor_Network,1,9,8,9, ,428,7,421,3600,3600,1200,34.802,56.0083,32,3.33333,159,63,0,0,34.802,56.0083,32,
3-Corridor_Network,1,10,8,9, ,429,7,422,3600,3600,1200,29.6399,47.7008,37.6667,6.66667,236,123,0,0,29.6399,47.7008,37.6667,
3-Corridor_Network,1,11,8,9, ,430,7,423,3600,3600,1200,25.7867,41.4996,43.6667,9.81481,314,183,0,0,25.7867,41.4996,43.6667,
3-Corridor_Network,1,12,8,9, ,431,7,424,3600,3600,1200,22.825,36.7333,49.6667,13.1481,392,243,0,0,22.825,36.7333,49.6667,
3-Corridor_Network,1,13,8,9, ,432,7,425,3600,3600,1200,20.4851,32.9676,55.6667,16.4815,470,303,0,0,20.4851,32.9676,55.6667,
3-Corridor_Network,1,14,8,9, ,433,7,426,3600,3600,1200,18.5804,29.9022,61.6667,19.8148,548,363,0,0,18.5804,29.9022,61.6667,
3-Corridor_Network,1,15,8,9, ,434,7,427,3600,3600,1200,16.9997,27.3584,68,23.1481,627,423,0,0,16.9997,27.3584,68,
3-Corridor_Network,1,16,8,9, ,435,7,428,3600,3600,1200,15.658,25.1992,74,26.6667,705,483,0,0,15.658,25.1992,74,
3-Corridor_Network,1,17,8,9, ,436,7,429,3600,3600,1200,14.8403,23.8832,80,30,783,543,0,0,14.8403,23.8832,80,
3-Corridor_Network,1,18,8,9, ,437,7,430,3600,3600,1200,15,24.1402,80,33.3333,843,603,0,0,15,24.1402,80,
3-Corridor_Network,1,19,8,9, ,438,7,431,3600,3600,1200,15,24.1402,80,33.3333,903,663,0,0,15,24.1402,80,
3-Corridor_Network,1,20,8,9, ,439,7,432,3600,3600,1200,15,24.1402,80,33.3333,963,723,0,0,15,24.1402,80,
3-Corridor_Network,1,21,8,9, ,440,7,433,3600,3600,1200,15,24.1402,80,33.3333,1023,783,0,0,15,24.1402,80,
3-Corridor_Network,1,22,8,9, ,441,7,434,3600,3600,1200,15,24.1402,80,33.3333,1083,843,0,0,15,24.1402,80,
3-Corridor_Network,1,23,8,9, ,442,7,435,3600,3600,1200,15,24.1402,80,33.3333,1143,903,0,0,15,24.1402,80,
3-Corridor_Network,1,24,8,9, ,443,7,436,3600,3600,1200,15,24.1402,80,33.3333,1203,963,0,0,15,24.1402,80,
3-Corridor_Network,1,25,8,9, ,444,7,437,3600,3600,1200,15,24.1402,80,33.3333,1263,1023,0,0,15,24.1402,80,
3-Corridor_Network,1,26,8,9, ,445,7,438,3600,3600,1200,15,24.1402,80,33.3333,1323,1083,0,0,15,24.1402,80,
3-Corridor_Network,1,27,8,9, ,446,7,439,3600,3600,1200,15,24.1402,80,33.3333,1383,1143,0,0,15,24.1402,80,
3-Corridor_Network,1,28,8,9, ,447,7,440,3600,3600,1200,15,24.1402,80,33.3333,1443,1203,0,0,15,24.1402,80,
3-Corridor_Network,1,29,8,9, ,448,7,441,3600,3600,1200,15,24.1402,80,33.3333,1503,1263,0,0,15,24.1402,80,
3-Corridor_Network,1,30,8,9, ,449,7,442,3600,3600,1200,15,24.1402,80,33.3333,1563,1323,0,0,15,24.1402,80,
3-Corridor_Network,1,31,8,9, ,450,7,443,3600,3600,1200,15,24.1402,80,33.3333,1623,1383,0,0,15,24.1402,80,
3-Corridor_Network,1,32,8,9, ,451,7,444,3600,3600,1200,15,24.1402,80,33.3333,1683,1443,0,0,15,24.1402,80,
3-Corridor_Network,1,33,8,9, ,452,7,445,3600,3600,1200,15,24.1402,80,33.3333,1743,1503,0,0,15,24.1402,80,
3-Corridor_Network,1,34,8,9, ,453,7,446,3600,3600,1200,15,24.1402,80,33.3333,1803,1563,0,0,15,24.1402,80,
3-Corridor_Network,1,35,8,9, ,454,7,447,3600,3600,1200,15,24.1402,80,33.3333,1863,1623,0,0,15,24.1402,80,
3-Corridor_Network,1,36,8,9, ,455,7,448,3600,3600,1200,15,24.1402,80,33.3333,1923,1683,0,0,15,24.1402,80,
3-Corridor_Network,1,37,8,9, ,456,7,449,3600,3600,1200,15,24.1402,80,33.3333,1983,1743,0,0,15,24.1402,80,
3-Corridor_Network,1,38,8,9, ,457,7,450,3600,3600,1200,15,24.1402,80,33.3333,2043,1803,0,0,15,24.1402,80,
3-Corridor_Network,1,39,8,9, ,458,7,451,3600,3600,1200,15,24.1402,80,33.3333,2103,1863,0,0,15,24.1402,80,
3-Corridor_Network,1,40,8,9, ,459,7,452,3600,3600,1200,15,24.1402,80,33.3333,2163,1923,0,0,15,24.1402,80,
3-Corridor_Network,1,41,8,9, ,460,7,453,3600,3600,1200,15,24.1402,80,33.3333,2223,1983,0,0,15,24.1402,80,
3-Corridor_Network,1,42,8,9, ,461,7,454,3600,3600,1200,15,24.1402,80,33.3333,2283,2043,0,0,15,24.1402,80,
3-Corridor_Network,1,43,8,9, ,462,7,455,3600,3600,1200,15,24.1402,80,33.3333,2343,2103,0,0,15,24.1402,80,
3-Corridor_Network,1,44,8,9, ,463,7,456,3600,3600,1200,15,24.1402,80,33.3333,2403,2163,0,0,15,24.1402,80,
3-Corridor_Network,1,45,8,9, ,464,7,457,3600,3600,1200,15,24.1402,80,33.3333,2463,2223,0,0,15,24.1402,80,
3-Corridor_Network,1,46,8,9, ,465,7,458,3600,3600,1200,15,24.1402,80,33.3333,2523,2283,0,0,15,24.1402,80,
3-Corridor_Network,1,47,8,9, ,466,7,459,3600,3600,1200,15,24.1402,80,33.3333,2583,2343,0,0,15,24.1402,80,
3-Corridor_Network,1,48,8,9, ,467,7,460,3600,3600,1200,15,24.1402,80,33.3333,2643,2403,0,0,15,24.1402,80,
3-Corridor_Network,1,49,8,9, ,468,7,461,3600,3600,1200,15,24.1402,80,33.3333,2703,2463,0,0,15,24.1402,80,
3-Corridor_Network,1,50,8,9, ,469,7,462,3600,3600,1200,15,24.1402,80,33.3333,2763,2523,0,0,15,24.1402,80,
3-Corridor_Network,1,51,8,9, ,470,7,463,3600,3600,1200,15,24.1402,80,33.3333,2823,2583,0,0,15,24.1402,80,
3-Corridor_Network,1,52,8,9, ,471,7,464,3600,3600,1200,15,24.1402,80,33.3333,2883,2643,0,0,15,24.1402,80,
3-Corridor_Network,1,53,8,9, ,472,7,465,3600,3600,1200,15,24.1402,80,33.3333,2943,2703,0,0,15,24.1402,80,
3-Corridor_Network,1,54,8,9, ,473,7,466,3600,3600,1200,15,24.1402,80,33.3333,3003,2763,0,0,15,24.1402,80,
3-Corridor_Network,1,55,8,9, ,474,7,467,3600,3600,1200,15,24.1402,80,33.3333,3063,2823,0,0,15,24.1402,80,
3-Corridor_Network,1,56,8,9, ,475,7,468,3600,3600,1200,15,24.1402,80,33.3333,3123,2883,0,0,15,24.1402,80,
3-Corridor_Network,1,57,8,9, ,476,7,469,3600,3600,1200,15,24.1402,80,33.3333,3183,2943,0,0,15,24.1402,80,
3-Corridor_Network,1,58,8,9, ,477,7,470,3600,3600,1200,15,24.1402,80,33.3333,3243,3003,0,0,15,24.1402,80,
3-Corridor_Network,1,59,8,9, ,478,7,471,3600,3600,1200,15,24.1402,80,33.3333,3303,3063,0,0,15,24.1402,80,
3-Corridor_Network,1,60,8,9, ,479,7,472,3600,3600,1200,15,24.1402,80,33.3333,3363,3123,0,0,15,24.1402,80,
